sample_id,image_type,image_path,glb_path,success,clip_mean,clip_std,n_views,detail_scores,error
0016,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0016/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0016/input_nobg.glb,1,0.6867583394050598,0.1173308789730072,8,"[0.6197196245193481, 0.6197196245193481, 0.854171633720398, 0.6197196245193481, 0.6197196245193481, 0.6197196245193481, 0.9215772747993469, 0.6197196245193481]",
0017,input,/root/autodl-tmp/sf3d/dataset/base30/0017/input.png,/root/autodl-tmp/sf3d/dataset/base30/0017/input.glb,1,0.6414757966995239,0.040625255554914474,8,"[0.6198113560676575, 0.6198113560676575, 0.6753327250480652, 0.6198113560676575, 0.6198113560676575, 0.6198113560676575, 0.7376054525375366, 0.6198113560676575]",
0017,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0017/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0017/input_nobg.glb,1,0.6708486080169678,0.08518378436565399,8,"[0.624187707901001, 0.624187707901001, 0.7569958567619324, 0.624187707901001, 0.624187707901001, 0.624187707901001, 0.8646666407585144, 0.624187707901001]",
0018,input,/root/autodl-tmp/sf3d/dataset/base30/0018/input.png,/root/autodl-tmp/sf3d/dataset/base30/0018/input.glb,1,0.6124622821807861,0.03095717914402485,8,"[0.5964840650558472, 0.5964840650558472, 0.6881412863731384, 0.5964840650558472, 0.5964840650558472, 0.5964840650558472, 0.6326524615287781, 0.5964840650558472]",
0018,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0018/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0018/input_nobg.glb,1,0.7036532163619995,0.08415918052196503,8,"[0.6575179696083069, 0.6575179696083069, 0.7892427444458008, 0.6575179696083069, 0.6575179696083069, 0.6575179696083069, 0.8948751091957092, 0.6575179696083069]",
0019,input,/root/autodl-tmp/sf3d/dataset/base30/0019/input.png,/root/autodl-tmp/sf3d/dataset/base30/0019/input.glb,1,0.5306406021118164,0.03257763385772705,8,"[0.5124385952949524, 0.5124385952949524, 0.5688316226005554, 0.5124385952949524, 0.5124385952949524, 0.5124385952949524, 0.6016616225242615, 0.5124385952949524]",
0019,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0019/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0019/input_nobg.glb,1,0.6086724996566772,0.10534895956516266,8,"[0.5597615838050842, 0.5597615838050842, 0.6301600337028503, 0.5597615838050842, 0.5597615838050842, 0.5597615838050842, 0.8806501626968384, 0.5597615838050842]",
0020,input,/root/autodl-tmp/sf3d/dataset/base30/0020/input.png,/root/autodl-tmp/sf3d/dataset/base30/0020/input.glb,1,0.6490216851234436,0.06325045228004456,8,"[0.6204367876052856, 0.6204367876052856, 0.6560531258583069, 0.6204367876052856, 0.6204367876052856, 0.6204367876052856, 0.8134994506835938, 0.6204367876052856]",
0020,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0020/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0020/input_nobg.glb,1,0.7148211002349854,0.09263452142477036,8,"[0.6652328968048096, 0.6652328968048096, 0.7941832542419434, 0.6652328968048096, 0.6652328968048096, 0.6652328968048096, 0.9329883456230164, 0.6652328968048096]",
0021,input,/root/autodl-tmp/sf3d/dataset/base30/0021/input.png,/root/autodl-tmp/sf3d/dataset/base30/0021/input.glb,1,0.6030511856079102,0.007893353700637817,8,"[0.6007952690124512, 0.6007952690124512, 0.6235357522964478, 0.6007952690124512, 0.6007952690124512, 0.6007952690124512, 0.596102237701416, 0.6007952690124512]",
0021,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0021/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0021/input_nobg.glb,1,0.6554105281829834,0.0984903946518898,8,"[0.5996041297912598, 0.5996041297912598, 0.7850247025489807, 0.5996041297912598, 0.5996041297912598, 0.5996041297912598, 0.8606345653533936, 0.5996041297912598]",
0022,input,/root/autodl-tmp/sf3d/dataset/base30/0022/input.png,/root/autodl-tmp/sf3d/dataset/base30/0022/input.glb,1,0.6273719668388367,0.017450489103794098,8,"[0.6332362294197083, 0.6332362294197083, 0.6381588578224182, 0.6332362294197083, 0.6332362294197083, 0.6332362294197083, 0.5813995599746704, 0.6332362294197083]",
0022,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0022/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0022/input_nobg.glb,1,0.7820003628730774,0.035396967083215714,8,"[0.7626542448997498, 0.7626542448997498, 0.817224383354187, 0.7626542448997498, 0.7626542448997498, 0.7626542448997498, 0.8628532886505127, 0.7626542448997498]",
0023,input,/root/autodl-tmp/sf3d/dataset/base30/0023/input.png,/root/autodl-tmp/sf3d/dataset/base30/0023/input.glb,1,0.5871332287788391,0.04475468024611473,8,"[0.561296820640564, 0.561296820640564, 0.6633478999137878, 0.561296820640564, 0.561296820640564, 0.561296820640564, 0.6659371256828308, 0.561296820640564]",
0023,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0023/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0023/input_nobg.glb,1,0.6474369168281555,0.09003695845603943,8,"[0.5991109609603882, 0.5991109609603882, 0.7260684967041016, 0.5991109609603882, 0.5991109609603882, 0.5991109609603882, 0.8587611317634583, 0.5991109609603882]",
0024,input,/root/autodl-tmp/sf3d/dataset/base30/0024/input.png,/root/autodl-tmp/sf3d/dataset/base30/0024/input.glb,1,0.5216791033744812,0.004093535244464874,8,"[0.5236920118331909, 0.5236920118331909, 0.5113500952720642, 0.5236920118331909, 0.5236920118331909, 0.5236920118331909, 0.5199306607246399, 0.5236920118331909]",
0024,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0024/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0024/input_nobg.glb,1,0.6042471528053284,0.08419989049434662,8,"[0.5687159299850464, 0.5687159299850464, 0.5959108471870422, 0.5687159299850464, 0.5687159299850464, 0.5687159299850464, 0.8257706761360168, 0.5687159299850464]",
0025,input,/root/autodl-tmp/sf3d/dataset/base30/0025/input.png,/root/autodl-tmp/sf3d/dataset/base30/0025/input.glb,1,0.6142247319221497,0.023375054821372032,8,"[0.6113260984420776, 0.6113260984420776, 0.5772616267204285, 0.6113260984420776, 0.6113260984420776, 0.6113260984420776, 0.6685796976089478, 0.6113260984420776]",
0025,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0025/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0025/input_nobg.glb,1,0.6928768754005432,0.07322897017002106,8,"[0.653387188911438, 0.653387188911438, 0.7590322494506836, 0.653387188911438, 0.653387188911438, 0.653387188911438, 0.8636595010757446, 0.653387188911438]",
0026,input,/root/autodl-tmp/sf3d/dataset/base30/0026/input.png,/root/autodl-tmp/sf3d/dataset/base30/0026/input.glb,1,0.643485963344574,0.028088606894016266,8,"[0.6272690296173096, 0.6272690296173096, 0.692041277885437, 0.6272690296173096, 0.6272690296173096, 0.6272690296173096, 0.6922323107719421, 0.6272690296173096]",
0026,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0026/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0026/input_nobg.glb,1,0.7226354479789734,0.07174067944288254,8,"[0.6871682405471802, 0.6871682405471802, 0.7549301385879517, 0.6871682405471802, 0.6871682405471802, 0.6871682405471802, 0.9031439423561096, 0.6871682405471802]",
0027,input,/root/autodl-tmp/sf3d/dataset/base30/0027/input.png,/root/autodl-tmp/sf3d/dataset/base30/0027/input.glb,1,0.6033133268356323,0.008893837220966816,8,"[0.604158341884613, 0.604158341884613, 0.6183236837387085, 0.604158341884613, 0.604158341884613, 0.604158341884613, 0.5832332968711853, 0.604158341884613]",
0027,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0027/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0027/input_nobg.glb,1,0.6908497214317322,0.0969921424984932,8,"[0.6420490145683289, 0.6420490145683289, 0.7421111464500427, 0.6420490145683289, 0.6420490145683289, 0.6420490145683289, 0.9323927164077759, 0.6420490145683289]",
0028,input,/root/autodl-tmp/sf3d/dataset/base30/0028/input.png,/root/autodl-tmp/sf3d/dataset/base30/0028/input.glb,1,0.589392900466919,0.026198871433734894,8,"[0.5789783596992493, 0.5789783596992493, 0.6586361527442932, 0.5789783596992493, 0.5789783596992493, 0.5789783596992493, 0.5826369524002075, 0.5789783596992493]",
0028,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0028/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0028/input_nobg.glb,1,0.6495200991630554,0.05914415046572685,8,"[0.6159235239028931, 0.6159235239028931, 0.771461009979248, 0.6159235239028931, 0.6159235239028931, 0.6159235239028931, 0.7291585206985474, 0.6159235239028931]",
